Lemma,Frequency
de,2183
e,1907
que,1895
da,1124
não,817
com,586
o,503
se,499
em,474
para,408
um,397
sua,362
é,355
ao,352
álvaro,340
eu,323
na,292
uma,287
à,283
leonor,278
do,252
seu,249
por,243
minha,241
como,224
disse,216
maria,213
era,210
meu,210
mais,205
mãe,201
lhe,200
filho,186
ela,181
ma,175
ele,172
glória,158
coração,141
quando,140
ano,139
foi,126
já,125
dia,125
deus,124
pai,113
porque,113
sem,112
quem,108
homem,107
no,107
