Lemma,Frequency
que,2988
de,2300
não,1873
e,1731
da,1043
se,769
com,759
é,752
um,713
eu,669
uma,597
para,558
em,539
o,520
na,441
ao,401
augusta,397
como,392
por,366
mais,355
lhe,340
era,330
à,325
ma,299
do,286
ela,274
guilherme,271
seu,270
sua,268
ele,242
meu,240
minha,239
te,238
amaral,201
muito,201
mulher,200
disse,190
tu,189
sem,175
homem,173
já,168
ser,166
casa,162
poi,161
foi,157
está,154
quando,152
nem,151
quem,145
assim,141
