Localidade,Contagem
Palmira,33
Lisboa,31
Paris,17
Céu,16
Ruivães,13
Eleutério,13
Minho,10
Coimbra,10
Tranqueira,9
Braga,8
Portugal,7
Terra,7
França,6
Fervença,6
Eleutério Romão dos Santos,6
Vamos,6
Estás,5
Minha,5
Sintra,5
Entrei,4
Porto,4
Queres,4
Barcelos,4
Guimarães,3
Campo Grande,3
Afonso de Teive,3
Criador,3
Ursulinas,3
Dizia,3
Romão,3
