localidades,contagem
Amas,1
Viseu,4
Encontrei,2
"António de Albuquerque
",1
Perguntei,1
Recebeu-me,1
vestir,1
Começaram,1
"Esteia
Sou",1
"santa alma
Achei-me",1
És,2
Releve Vossa Excelência,1
Viemos,1
Conheço,1
Laura de Carvalhais?,1
Dizia,3
Joga,1
Surpreendi Carlos,1
Cassilda Arcourt?,1
Vossas Excelências,1
"Srª D
Filomena
Eu digo a",1
"Cassilda Arcourt
Reparou nela
",1
minha senhora,1
Porque,1
Marion de Lorne,1
"Ninon de Lenclos..
",1
Cassilda Arcourt,5
"Alto de S
João",1
Beira Baixa,1
Comprou,1
Eduardo,15
Restas-me,1
Podiam,1
Sacerdotes,1
Sol,1
Meado,1
Adrião Forjaz,1
Minho,2
Convento dos Jerónimos,1
"Capela de S
Roque
Hospedou-se",1
Luís XIV,1
"Capela de S
Roque",1
Odivelas,1
Melhor,1
Clichy,1
César,1
Grato,1
Chiado,1
conde de ***,3
Presumia,1
Tejo,2
Fazenda Nacional,1
Rossio,1
Pudera,1
Prosper Arcourt,1
"Fazenda Nacional
Honra",1
Governo,1
Prosper,2
Pagou,1
Puxa,1
Diziam,1
Lavaillant,1
"Cassilda Arcourt
Contam-se",1
"Carta de Filomena
     
     ",2
"meu Carlos
Meu...!",1
"Eduardo nisto
Nada conseguimos
Contraveio",1
"Cassilda Arcourt
Fixou-me",1
Anseia,1
Terêncio,1
taverna,1
vasa,1
duque do império,1
Cassilda,5
Circe,1
Querem,4
Vénus,2
Bela,1
lacaio,1
"Carlos
Era",1
Fico,1
"teatro
Sou",1
"Alfred de Musset
     ",1
Musset,1
Kock,1
padre Joaquim,1
"Largo de S
Roque",1
Madame -,1
Prosper Arcout,1
Sintra,2
Hotel do Vítor,1
Abriu,2
Imagina,1
Ó Carlos,1
Senhora,1
Divina,1
"Carlos
Tratou-me",1
Poderia,1
Bendito,1
Mãe Santíssima,1
Transijo,1
Reabilitado,1
Terreiro do Paço,1
"Carlos Pereira...
     -",1
"Cassilda Arcourt?
     -",1
Trouxe do Brasil,1
Basta,1
Travessa dos Carros,2
"Carlos Pereira
Voltou",1
Andei,2
"Carlos Pereira
Respondi",1
Suspeitei,1
Confirmava-mo,1
Preparo,1
Chamei,2
Se Carlos,1
Creia,1
"Carlos Pereira
Sobejava-lhe",1
Causava,1
"Cassilda Arcourt
",1
Deviam,1
Madeão,1
Crisóstomo,1
Trevas,1
Cassildas,1
"Madame Cassilda Arcourt
E",1
Filomena.,1
Chamava-me,1
"Esteia
",1
compadre de Cassilda.,1
"Carlos
- Animal",1
Então Cassilda,1
Assisti,1
Antunes,5
Entenda,1
biblioteca de Cassilda,1
Abri,1
Paulo de Kock,1
Maaemoiselle de Maupin,1
"Théophile Gautier
A Dama das Camélias",1
Ernest Feydeau,1
"Jean Meslier
",1
"Carlos
Posta",1
Voltei,1
"Carlos
Eu",1
Guardei,1
Calculei,1
Dar-me-á Deus,1
"Adeus
Escreva",1
Alemanha,1
Referia,1
Madeira,2
Volvidos,1
Hotel,1
Sofro,1
"Travessa dos Carros?..
",1
Fitou-me,1
Querias,1
"Srª D
Filomena",1
Funchal,3
"Lisboa..
",1
"Hotel Central
Cassilda",1
Inclinei,1
Campo Grande,1
Queria,1
Vês,1
"ma mostrava..
dez vezes",1
Ciúmes,1
Sabes,2
Compreendes,1
infeliz senhora virá,1
Deixa,1
Escutou-me,1
"Jardim do Campo Grande
Apeámos",1
ignomínia da morte,1
Deves,1
Diz-mo,1
Carlos Pereira!»,1
Atalhou,1
Válido,1
"Stendhal
",1
"Cassilda
Pressentia",1
Tornei,1
Adeus,1
Chorei,1
Continha,1
Venho,1
Serei,1
Hospedei-me,1
Hotel da Estrela,1
"Rua da Prata
Sua",1
Metade,1
Trajava,1
