Verbo,Contagem
dizer,458
ter,414
querer,271
fazer,252
poder,241
saber,241
dar,187
haver,153
vir,151
ver,146
ser,142
dever,113
falar,94
ir,85
entrar,85
parecer,81
deixar,80
conhecer,77
sair,74
passar,68
